x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
245,124,13:22:11:922,Square,0,0,1440,900
783,171,13:22:12:085,Square,1477,0,1440,900
END_OF_STROKE,0,0,13:22:12:297,END_OF_STROKE,0,0,0
176,383,13:22:13:271,Hexagon,-649,266,1440,900
891,298,13:22:13:433,Hexagon,2336,-289,1440,900
END_OF_STROKE,0,0,13:22:13:635,END_OF_STROKE,0,0,0
920,292,13:22:13:802,Hexagon,-5,-6,1440,900
END_OF_STROKE,0,0,13:22:13:892,END_OF_STROKE,0,0,0
920,299,13:22:14:258,Hexagon,37,26,1440,900
739,297,13:22:14:415,Hexagon,-604,0,1440,900
730,297,13:22:14:568,Hexagon,0,0,1440,900
END_OF_STROKE,0,0,13:22:14:647,END_OF_STROKE,0,0,0
195,199,13:22:15:570,Trapezoid,-702,-153,1440,900
685,370,13:22:15:731,Trapezoid,1554,620,1440,900
704,377,13:22:15:945,Trapezoid,0,0,1440,900
729,353,13:22:16:096,Trapezoid,483,-482,1440,900
END_OF_STROKE,0,0,13:22:16:266,END_OF_STROKE,0,0,0
175,196,13:22:16:830,Trapezoid,-1082,-331,1440,900
526,317,13:22:16:980,Trapezoid,8081,3708,1440,900
739,398,13:22:17:130,Trapezoid,0,0,1440,900
740,399,13:22:17:280,Trapezoid,0,0,1440,900
END_OF_STROKE,0,0,13:22:17:288,END_OF_STROKE,0,0,0
227,289,13:22:18:329,Equilateral Triangle,-596,-153,1440,900
726,531,13:22:18:481,Equilateral Triangle,3752,2513,1440,900
785,568,13:22:18:668,Equilateral Triangle,0,0,1440,900
774,479,13:22:18:828,Equilateral Triangle,-151,-362,1440,900
756,471,13:22:18:979,Equilateral Triangle,-151,-90,1440,900
752,471,13:22:19:158,Equilateral Triangle,0,0,1440,900
END_OF_STROKE,0,0,13:22:19:159,END_OF_STROKE,0,0,0
194,470,13:22:19:730,Yellow Diamond,-1179,-3,1440,900
395,350,13:22:19:895,Yellow Diamond,7321,-4170,1440,900
619,286,13:22:20:094,Yellow Diamond,0,0,1440,900
END_OF_STROKE,0,0,13:22:20:195,END_OF_STROKE,0,0,0
206,471,13:22:20:797,Yellow Diamond,-827,449,1440,900
357,355,13:22:20:962,Yellow Diamond,4229,-2974,1440,900
END_OF_STROKE,0,0,13:22:21:267,END_OF_STROKE,0,0,0
198,467,13:22:21:802,Yellow Diamond,-756,521,1440,900
806,223,13:22:21:962,Yellow Diamond,15993,-6468,1440,900
1149,101,13:22:22:126,Yellow Diamond,-71,0,1440,900
945,224,13:22:22:276,Yellow Diamond,-3323,2261,1440,900
866,267,13:22:22:462,Yellow Diamond,0,0,1440,900
867,249,13:22:22:627,Yellow Diamond,71,-340,1440,900
END_OF_STROKE,0,0,13:22:22:639,END_OF_STROKE,0,0,0
167,487,13:22:24:079,Yellow Diamond,-589,245,1440,900
999,335,13:22:24:242,Yellow Diamond,2341,0,1440,900
999,341,13:22:24:391,Yellow Diamond,-755,181,1440,900
